Province/Préfecture;Ménages;Population;Etrangers;Marocains
Aousserd;776;16190;180;16010
Oued Ed-Dahab;28609;126765;708;126057
Boujdour;10186;50566;72;50494
Laâyoune;53561;238096;596;237500
Tarfaya;3393;13082;75;13007
Assa-Zag;5208;44124;4;44120
Es-Semara;11614;66014;34;65980
Guelmim;40214;187808;195;187613
Tan-Tan;19472;86134;46;86088
Tata;22359;117841;32;117809
Agadir-Ida -Ou-Tanane;143752;600599;3708;596891
Chtouka- Ait Baha;88732;371102;211;370891
Inezgane- Ait Melloul;124340;541118;430;540688
Ouarzazate;54959;297502;281;297221
Sidi Ifni;25308;115691;102;115589
Taroudannt;171186;838820;335;838485
Tinghir;49990;322412;111;322301
Tiznit;51142;207367;198;207169
Zagora;38067;307306;122;307184
Kénitra;214640;1061435;1815;1059620
Sidi Kacem;99191;522270;95;522175
Sidi Slimane;60922;320407;92;320315
Benslimane;49108;233123;478;232645
Berrechid;103803;484518;499;484019
Khouribga;116126;542125;417;541708
Settat;119283;634184;609;633575
Al  Haouz;111627;573128;362;572766
Chichaoua;73928;369955;66;369889
El Kelâa des  Sraghna;97874;537488;115;537373
Essaouira;95520;450527;795;449732
Marrakech;302137;1330468;6764;1323704
Rehamna;57514;315077;65;315012
Berkane;66372;289137;607;288530
Driouch;43935;211059;39;211020
Figuig;28439;138325;41;138284
Jerada;20983;108727;99;108628
Nador;125951;565426;483;564943
Oujda-Angad;124508;551767;2487;549280
Taourirt;43676;233188;123;233065
Casablanca;819954;3359818;24337;3335481
Médiouna;39560;172680;154;172526
Mohammadia;96351;404648;2594;402054
Nouaceur;76711;333604;1076;332528
Khémisset;122144;542221;196;542025
Rabat;151670;577827;12891;564936
Salé;231340;982163;2347;979816
Skhirate- Témara;135200;574543;2776;571767
El Jadida;167602;786716;1402;785314
Safi;144490;691983;396;691587
Sidi Bennour;87032;452448;90;452358
Youssoufia;45030;251943;73;251870
Azilal;97346;554001;106;553895
Béni Mellal;123067;550678;464;550214
Fquih Ben Salah;96062;502827;159;502668
Meknès;192654;835695;1269;834426
El  Hajeb;53230;247016;74;246942
Errachidia;75264;418451;212;418239
Ifrane;35859;155221;325;154896
Khénifra;87573;371145;116;371029
Midelt;59718;289337;70;289267
Boulemane;39219;197596;86;197510
Fès;265036;1150131;3521;1146610
Sefrou;66034;286489;203;286286
Moulay Yacoub;31338;174079;31;174048
Al Hoceima;79326;399654;236;399418
Guercif;40666;216717;75;216642
Taounate;128719;662246;81;662165
Taza;107408;528419;138;528281
Chefchaouen;82914;457432;143;457289
Fahs-Anjra;16823;76447;44;76403
Larache;107357;496687;413;496274
Ouezzane;67858;300637;134;300503
Tanger-Assilah;266738;1065601;5299;1060302
Tétouan;126969;550374;605;549769
M'Diq-Fnideq;51139;209897;579;209318
